#---Header
EC or Barrel:                SE
Module Type:                 M1
Module ref. Number:          
Date:                        2023-04-T20:43:44.521500
Institute:                   Uppsala Universitet
Operator:                    Xiangyu XU
Instrument type:             OGP SmartScope
Run Number:                  1
Measurement program version: v.23.04.12
#---Positions
#Location         X [mm]        Y [mm]
H_R1H0_P1            9.24109  -67.7858
H_R1H0_P2            108.572  -61.0706
H_R1H1_P1            2.75148  -15.8128
H_R1H1_P2            110.601  -32.9741
PB_P1             106.773  -33.5318
PB_P2             106.785  -33.5342
#---Glue heights:
# Location  Type         X [mm]             Y [mm]           Z [mm]
Sensor    1    1.9997    -12.6942    -0.0175
Sensor    1    12.0008    -12.7856    -0.0185
Sensor    1    22.029    -11.5737    -0.0325
Sensor    1    32.0001    -11.6648    -0.042
Sensor    1    41.9992    -11.7567    -0.0439
Sensor    1    52.0126    -10.6076    -0.0504
Sensor    1    62.0008    -10.6988    -0.0596
Sensor    1    71.999    -10.7901    -0.0654
Sensor    1    81.9992    -10.8815    -0.0661
Sensor    1    91.9999    -10.9734    -0.0689
Sensor    1    101.999    -11.0647    -0.0714
Sensor    1    112.002    -11.156    -0.0731
Sensor    1    8.4058    -68.0447    -0.0369
Sensor    1    18.4033    -68.1355    -0.0382
Sensor    1    28.4009    -68.2269    -0.0433
Sensor    1    38.4019    -68.3189    -0.0485
Sensor    1    48.4001    -68.4102    -0.0556
Sensor    1    58.4013    -68.5015    -0.0659
Sensor    1    68.4015    -68.5928    -0.0712
Sensor    1    78.4002    -68.684    -0.0754
Sensor    1    88.4    -68.7753    -0.0718
Sensor    1    98.4006    -68.8671    -0.0657
Sensor    1    108.4    -68.9583    -0.0752
ABC_R1H0_0   2    3.446    -20.5533    0.2996
ABC_R1H0_0   2    3.5441    -22.8946    0.2983
ABC_R1H0_0   2    12.3986    -22.3006    0.3332
ABC_R1H0_0   2    12.0061    -19.5275    0.3474
ABC_R1H0_1   2    13.4077    -19.6637    0.3553
ABC_R1H0_1   2    13.4485    -21.9934    0.3427
ABC_R1H0_1   2    22.3208    -21.5491    0.3279
ABC_R1H0_1   2    22.1175    -18.7645    0.3552
ABC_R1H0_2   2    23.3731    -18.9486    0.3561
ABC_R1H0_2   2    23.3747    -21.2859    0.3352
ABC_R1H0_2   2    32.2467    -21.0106    0.3368
ABC_R1H0_2   2    31.9523    -18.2341    0.3482
ABC_R1H0_3   2    33.335    -18.41    0.353
ABC_R1H0_3   2    33.3012    -20.7424    0.3378
ABC_R1H0_3   2    41.9426    -17.8478    0.324
ABC_R1H0_3   2    42.1804    -20.6317    0.3129
ABC_R1H0_4   2    43.2441    -20.3847    0.307
ABC_R1H0_4   2    43.327    -18.0473    0.3309
ABC_R1H0_4   2    51.9216    -17.6504    0.3614
ABC_R1H0_4   2    52.1284    -20.4385    0.3287
ABC_R1H0_5   2    53.17    -20.2132    0.3238
ABC_R1H0_5   2    53.2978    -17.8843    0.3538
ABC_R1H0_5   2    62.019    -17.6383    0.3215
ABC_R1H0_5   2    62.0538    -20.422    0.2919
ABC_R1H0_6   2    63.1201    -20.2225    0.2909
ABC_R1H0_6   2    63.2725    -17.8794    0.3237
ABC_R1H0_6   2    72.1448    -17.8111    0.3137
ABC_R1H0_6   2    71.9895    -20.6032    0.2809
ABC_R1H0_7   2    73.0319    -20.3969    0.2905
ABC_R1H0_7   2    73.252    -18.085    0.3192
ABC_R1H0_7   2    81.8367    -18.1636    0.3154
ABC_R1H0_7   2    81.8901    -20.9365    0.2926
ABC_R1H0_8   2    82.9464    -20.7784    0.2866
ABC_R1H0_8   2    83.2007    -18.4574    0.31
ABC_R1H0_8   2    92.0472    -18.6898    0.3014
ABC_R1H0_8   2    91.806    -21.472    0.2782
ABC_R1H0_9   2    92.8596    -21.3309    0.2816
ABC_R1H0_9   2    93.1559    -19.0088    0.3
ABC_R1H0_9   2    101.767    -19.4182    0.2634
ABC_R1H0_9   2    101.697    -22.1917    0.2455
ABC_R1H1_0   2    1.18576e-322    1.97626e-323    1.36053e-311
ABC_R1H1_0   2    4.70276e-312    9.88131e-324    6.95271e-310
ABC_R1H1_0   2    1.36053e-311    6.95251e-310    1.18576e-322
ABC_R1H1_0   2    4.68961e-312    0    6.95271e-310
ABC_R1H1_1   2    9.88131e-324    4.70276e-312    1.12647e-321
ABC_R1H1_1   2    4.70276e-312    2.37152e-322    0
ABC_R1H1_1   2    0    1.25267e-317    6.95271e-310
ABC_R1H1_1   2    6.95251e-310    6.95271e-310    1.3602e-311
ABC_R1H1_2   2    6.95271e-310    6.95271e-310    7.29112e-304
ABC_R1H1_2   2    1.25671e-317    2.42843e-319    0
ABC_R1H1_2   2    0    6.95271e-310    4.70276e-312
ABC_R1H1_2   2    1.4822e-323    0    1.5915e-314
ABC_R1H1_3   2    1.4822e-323    6.95271e-310    4.68961e-312
ABC_R1H1_3   2    4.70276e-312    6.95271e-310    4.70276e-312
ABC_R1H1_3   2    6.95271e-310    4.70276e-312    0
ABC_R1H1_3   2    0    3.43681e-314    1.65781e-316
ABC_R1H1_4   2    1.31485e-314    0    4.68978e-312
ABC_R1H1_4   2    1.4822e-323    6.95271e-310    5.1037e-321
ABC_R1H1_4   2    1.5915e-314    6.95271e-310    4.94066e-324
ABC_R1H1_4   2    6.95271e-310    4.70276e-312    6.95271e-310
ABC_R1H1_5   2    5.43231e-312    6.95271e-310    6.95271e-310
ABC_R1H1_5   2    0    2.00566e-314    6.95271e-310
ABC_R1H1_5   2    4.94066e-324    0    0
ABC_R1H1_5   2    0    0    6.95268e-310
ABC_R1H1_6   2    0    0    0
ABC_R1H1_6   2    0    4.70276e-312    6.95268e-310
ABC_R1H1_6   2    4.70276e-312    4.70276e-312    2.122e-314
ABC_R1H1_6   2    0    4.70276e-312    6.95268e-310
ABC_R1H1_7   2    4.70276e-312    4.70276e-312    2.122e-314
ABC_R1H1_7   2    0    4.70276e-312    6.95268e-310
ABC_R1H1_7   2    4.70276e-312    4.70276e-312    1.33342e-309
ABC_R1H1_7   2    2.122e-314    0    6.95268e-310
ABC_R1H1_8   2    1.77864e-322    4.70276e-312    2.122e-314
ABC_R1H1_8   2    6.95268e-310    4.70276e-312    4.70276e-312
ABC_R1H1_8   2    1.77864e-322    6.95268e-310    2.122e-314
ABC_R1H1_8   2    6.95268e-310    6.95268e-310    4.70276e-312
ABC_R1H1_9   2    4.70276e-312    0    0
ABC_R1H1_9   2    6.95268e-310    6.95268e-310    4.70276e-312
ABC_R1H1_9   2    4.15015e-322    6.95268e-310    4.70276e-312
ABC_R1H1_9   2    4.15015e-322    1.4822e-323    0
ABC_R1H1_10   2    0    6.95268e-310    1.36053e-311
ABC_R1H1_10   2    1.4854e-313    1.77864e-322    4.70276e-312
ABC_R1H1_10   2    0    6.95268e-310    4.70276e-312
ABC_R1H1_10   2    1.4854e-313    0    2.122e-314
PB_0       2    107.943    -38.6696    0.42885
PB_1       2    93.6609    -45.2588    0.4785
PB_2       2    75.4004    -46.1    0.42505
PB_3       2    76.3908    -31.8283    0.456825
PB_4       2    57.5172    -35.8066    0.27295
#---Other heights:
# Location  Type         X [mm]             Y [mm]           Z [mm]
