        1#---Header
EC or Barrel:                SE
Module Type:                 M1
Module ref. Number:          
Date:                        2023-04-12T21:06:05.662495700.662487+0200
Institute:                   Uppsala Universitet
Operator:                    Xiangyu XU
Instrument type:             OGP SmartScope
Run Number:                  1
Measurement program version: v.23.04.12
#---Positions
#Location         X [mm]        Y [mm]
H_R1H0_P1         9.241  -67.79
H_R1H0_P2         108.6  -61.07
H_R1H1_P1         2.751  -15.81
H_R1H1_P2         110.6  -32.97
PB_P1             106.8  -33.53
PB_P2             106.8  -33.53
#---Glue heights:
# Location  Type         X [mm]             Y [mm]           Z [mm]
Sensor    1    2    -12.69    -0.0175
Sensor    1    12    -12.79    -0.0185
Sensor    1    22.03    -11.57    -0.0325
Sensor    1    32    -11.66    -0.042
Sensor    1    42    -11.76    -0.0439
Sensor    1    52.01    -10.61    -0.0504
Sensor    1    62    -10.7    -0.0596
Sensor    1    72    -10.79    -0.0654
Sensor    1    82    -10.88    -0.0661
Sensor    1    92    -10.97    -0.0689
Sensor    1    102    -11.06    -0.0714
Sensor    1    112    -11.16    -0.0731
Sensor    1    8.406    -68.04    -0.0369
Sensor    1    18.4    -68.14    -0.0382
Sensor    1    28.4    -68.23    -0.0433
Sensor    1    38.4    -68.32    -0.0485
Sensor    1    48.4    -68.41    -0.0556
Sensor    1    58.4    -68.5    -0.0659
Sensor    1    68.4    -68.59    -0.0712
Sensor    1    78.4    -68.68    -0.0754
Sensor    1    88.4    -68.78    -0.0718
Sensor    1    98.4    -68.87    -0.0657
Sensor    1    108.4    -68.96    -0.0752
ABC_R1H0_0   2    3.446    -20.55    0.2996
ABC_R1H0_0   2    3.544    -22.89    0.2983
ABC_R1H0_0   2    12.4    -22.3    0.3332
ABC_R1H0_0   2    12.01    -19.53    0.3474
ABC_R1H0_1   2    13.41    -19.66    0.3553
ABC_R1H0_1   2    13.45    -21.99    0.3427
ABC_R1H0_1   2    22.32    -21.55    0.3279
ABC_R1H0_1   2    22.12    -18.76    0.3552
ABC_R1H0_2   2    23.37    -18.95    0.3561
ABC_R1H0_2   2    23.37    -21.29    0.3352
ABC_R1H0_2   2    32.25    -21.01    0.3368
ABC_R1H0_2   2    31.95    -18.23    0.3482
ABC_R1H0_3   2    33.34    -18.41    0.353
ABC_R1H0_3   2    33.3    -20.74    0.3378
ABC_R1H0_3   2    41.94    -17.85    0.324
ABC_R1H0_3   2    42.18    -20.63    0.3129
ABC_R1H0_4   2    43.24    -20.38    0.307
