#---Header
EC or Barrel:                SE
Module Type:                 M1
Module ref. Number:          
Date:                        2023-04-T22:10:33.873130+0200
Institute:                   Uppsala Universitet
Operator:                    Xiangyu XU
Instrument type:             OGP SmartScope
Run Number:                  1
Measurement program version: v.23.04.12
#---Positions
#Location         X [mm]        Y [mm]
H_R1H0_P1         +009.2411     -067.7858
H_R1H0_P2         +108.5716     -061.0706
H_R1H1_P1         +002.7515     -015.8128
H_R1H1_P2         +110.6005     -032.9741
PB_P1             +106.7728     -033.5318
PB_P2             +106.7850     -033.5342
#---Glue heights:
# Location    Type      X [mm]        Y [mm]      Z [mm]
Sensor        1         +001.9997    -012.6942    -000.0175
Sensor        1         +012.0008    -012.7856    -000.0185
Sensor        1         +022.0290    -011.5737    -000.0325
Sensor        1         +032.0001    -011.6648    -000.0420
Sensor        1         +041.9992    -011.7567    -000.0439
Sensor        1         +052.0126    -010.6076    -000.0504
Sensor        1         +062.0008    -010.6988    -000.0596
Sensor        1         +071.9990    -010.7901    -000.0654
Sensor        1         +081.9992    -010.8815    -000.0661
Sensor        1         +091.9999    -010.9734    -000.0689
Sensor        1         +101.9995    -011.0647    -000.0714
Sensor        1         +112.0019    -011.1560    -000.0731
Sensor        1         +008.4058    -068.0447    -000.0369
Sensor        1         +018.4033    -068.1355    -000.0382
Sensor        1         +028.4009    -068.2269    -000.0433
Sensor        1         +038.4019    -068.3189    -000.0485
Sensor        1         +048.4001    -068.4102    -000.0556
Sensor        1         +058.4013    -068.5015    -000.0659
Sensor        1         +068.4015    -068.5928    -000.0712
Sensor        1         +078.4002    -068.6840    -000.0754
Sensor        1         +088.4000    -068.7753    -000.0718
Sensor        1         +098.4006    -068.8671    -000.0657
Sensor        1         +108.4000    -068.9583    -000.0752
ABC_R1H0_0    2         +003.4460    -020.5533    +000.2996
ABC_R1H0_0    2         +003.5441    -022.8946    +000.2983
ABC_R1H0_0    2         +012.3986    -022.3006    +000.3332
ABC_R1H0_0    2         +012.0061    -019.5275    +000.3474
ABC_R1H0_1    2         +013.4077    -019.6637    +000.3553
ABC_R1H0_1    2         +013.4485    -021.9934    +000.3427
ABC_R1H0_1    2         +022.3208    -021.5491    +000.3279
ABC_R1H0_1    2         +022.1175    -018.7645    +000.3552
ABC_R1H0_2    2         +023.3731    -018.9486    +000.3561
ABC_R1H0_2    2         +023.3747    -021.2859    +000.3352
ABC_R1H0_2    2         +032.2467    -021.0106    +000.3368
ABC_R1H0_2    2         +031.9523    -018.2341    +000.3482
ABC_R1H0_3    2         +033.3350    -018.4100    +000.3530
ABC_R1H0_3    2         +033.3012    -020.7424    +000.3378
ABC_R1H0_3    2         +041.9426    -017.8478    +000.3240
ABC_R1H0_3    2         +042.1804    -020.6317    +000.3129
ABC_R1H0_4    2         +043.2441    -020.3847    +000.3070
ABC_R1H0_4    2         +043.3270    -018.0473    +000.3309
ABC_R1H0_4    2         +051.9216    -017.6504    +000.3614
ABC_R1H0_4    2         +052.1284    -020.4385    +000.3287
ABC_R1H0_5    2         +053.1700    -020.2132    +000.3238
ABC_R1H0_5    2         +053.2978    -017.8843    +000.3538
ABC_R1H0_5    2         +062.0190    -017.6383    +000.3215
ABC_R1H0_5    2         +062.0538    -020.4220    +000.2919
ABC_R1H0_6    2         +063.1201    -020.2225    +000.2909
ABC_R1H0_6    2         +063.2725    -017.8794    +000.3237
ABC_R1H0_6    2         +072.1448    -017.8111    +000.3137
ABC_R1H0_6    2         +071.9895    -020.6032    +000.2809
ABC_R1H0_7    2         +073.0319    -020.3969    +000.2905
ABC_R1H0_7    2         +073.2520    -018.0850    +000.3192
ABC_R1H0_7    2         +081.8367    -018.1636    +000.3154
ABC_R1H0_7    2         +081.8901    -020.9365    +000.2926
ABC_R1H0_8    2         +082.9464    -020.7784    +000.2866
ABC_R1H0_8    2         +083.2007    -018.4574    +000.3100
ABC_R1H0_8    2         +092.0472    -018.6898    +000.3014
