#---Header
EC or Barrel:                SE
Module Type:                 M1
Module ref. Number:          N/A
Date:                        2023-04-T22:57:10.853573+0200
Institute:                   Uppsala Universitet
Operator:                    Xiangyu XU
Instrument type:             OGP SmartScope Flash 200
Run Number:                  1
Measurement program version: v.23.04.12
#---Positions
#Location         X [mm]        Y [mm]
H_R1H0_P1         +010.3280     -075.7781
H_R1H0_P2         +108.5742     -061.0723
H_R1H1_P1         +002.7528     -015.7806
H_R1H1_P2         +110.9011     -029.7349
PB_P1             +106.7735     -033.5328
PB_P2             +106.7883     -033.5356
#---Glue heights:
# Location    Type      X [mm]       Y [mm]       Z [mm]
Sensor        1         +002.0000    -012.6939    -000.0144
Sensor        1         +012.0010    -012.7854    -000.0204
Sensor        1         +022.0291    -011.5735    -000.0296
Sensor        1         +032.0002    -011.6648    -000.0362
Sensor        1         +041.9992    -011.7563    -000.0451
Sensor        1         +052.0126    -010.6073    -000.0449
Sensor        1         +062.0008    -010.6986    -000.0457
Sensor        1         +071.9990    -010.7900    -000.0465
Sensor        1         +081.9997    -010.8815    -000.0458
Sensor        1         +092.0004    -010.9729    -000.0463
Sensor        1         +102.0004    -011.0643    -000.0473
Sensor        1         +112.0028    -011.1557    -000.0475
Sensor        1         +008.4063    -068.0439    -000.0345
Sensor        1         +018.4038    -068.1354    -000.0357
Sensor        1         +028.4013    -068.2269    -000.0436
Sensor        1         +038.4023    -068.3184    -000.0490
Sensor        1         +048.4005    -068.4099    -000.0528
Sensor        1         +058.4017    -068.5013    -000.0620
Sensor        1         +068.4019    -068.5926    -000.0708
Sensor        1         +078.4006    -068.6840    -000.0706
Sensor        1         +088.4008    -068.7753    -000.0703
Sensor        1         +098.4009    -068.8667    -000.0646
Sensor        1         +108.4003    -068.9580    -000.0766
ABC_R1H0_0    2         +108.9717    -058.8738    +000.1929
ABC_R1H0_0    2         +108.6399    -061.1860    +000.1957
ABC_R1H0_0    2         +100.0070    -060.6216    +000.2442
ABC_R1H0_0    2         +100.1339    -057.8669    +000.2376
ABC_R1H0_1    2         +098.7970    -057.9522    +000.2454
ABC_R1H0_1    2         +098.5081    -060.2773    +000.2672
ABC_R1H0_1    2         +089.9634    -057.1169    +000.2816
ABC_R1H0_1    2         +089.9233    -059.9439    +000.2696
ABC_R1H0_2    2         +088.6170    -057.2502    +000.2811
ABC_R1H0_2    2         +088.3820    -059.5757    +000.2751
ABC_R1H0_2    2         +079.7687    -059.3535    +000.2923
ABC_R1H0_2    2         +079.7783    -056.5723    +000.2921
ABC_R1H0_3    2         +078.4347    -056.7326    +000.2924
ABC_R1H0_3    2         +078.2307    -059.0614    +000.3051
ABC_R1H0_3    2         +069.6186    -059.0267    +000.3092
ABC_R1H0_3    2         +069.5608    -056.2424    +000.2938
ABC_R1H0_4    2         +068.2326    -056.4088    +000.3056
ABC_R1H0_4    2         +068.0710    -058.7516    +000.3237
ABC_R1H0_4    2         +059.4644    -058.8784    +000.3084
ABC_R1H0_4    2         +059.3544    -056.1167    +000.2912
ABC_R1H0_5    2         +058.0165    -056.3079    +000.2854
