#---Header
EC or Barrel:                SE
Module Type:                 M1
Module ref. Number:          N/A
Date:                        2023-05-03T21:12:02.251118+0200
Institute:                   Uppsala Universitet
Operator:                    Xiangyu XU
Instrument type:             OGP SmartScope Flash 200
Run Number:                  3
Measurement program version: v.23.04.12
#---Positions
#Location         X [mm]        Y [mm]
H_R1H0_P1         +007.9908     -058.4485
H_R1H0_P2         +108.6198     -061.1894
H_R1H1_P1         +003.4498     -020.5504
H_R1H1_P2         +077.5764     -041.2766
PB_P1             +106.7724     -033.5320
PB_P2             +106.7824     -033.5340
#---Glue heights:
# Location    Type      X [mm]       Y [mm]       Z [mm]
Sensor        1         +001.9998    -012.6942    -000.0143
Sensor        1         +012.0009    -012.7859    -000.0173
Sensor        1         +022.0290    -011.5737    -000.0294
Sensor        1         +032.0001    -011.6651    -000.0375
Sensor        1         +041.9991    -011.7567    -000.0408
Sensor        1         +052.0125    -010.6074    -000.0464
Sensor        1         +062.0007    -010.6989    -000.0546
Sensor        1         +071.9989    -010.7905    -000.0608
Sensor        1         +081.9996    -010.8816    -000.0616
Sensor        1         +092.0003    -010.9732    -000.0616
Sensor        1         +102.0003    -011.0648    -000.0693
Sensor        1         +112.0022    -011.1558    -000.0648
Sensor        1         +008.4062    -068.0444    -000.0310
Sensor        1         +018.4037    -068.1355    -000.0299
Sensor        1         +028.4012    -068.2272    -000.0374
Sensor        1         +038.4022    -068.3188    -000.0435
Sensor        1         +048.4004    -068.4100    -000.0529
Sensor        1         +058.4016    -068.5015    -000.0567
Sensor        1         +068.4019    -068.5930    -000.0657
Sensor        1         +078.4006    -068.6840    -000.0701
Sensor        1         +088.4008    -068.7755    -000.0663
Sensor        1         +098.4009    -068.8671    -000.0627
Sensor        1         +108.4003    -068.9581    -000.0727
H_R1H0_0      2         +006.8151    -044.7523    +000.2758
H_R1H0_0      2         +007.0874    -047.4901    +000.2693
H_R1H0_0      2         +006.7549    -049.4387    +000.2617
H_R1H0_0      2         +007.1557    -050.5465    +000.2520
H_R1H0_1      2         +072.1924    -047.5065    +000.2806
H_R1H0_1      2         +075.7706    -047.9638    +000.2550
H_R1H0_1      2         +076.1746    -047.9675    +000.2523
H_R1H0_1      2         +079.7588    -048.0974    +000.2433
H_R1H0_2      2         +100.4651    -049.3625    +000.2263
