Xu-20221118-test.RTN
Step  Feature        X/R Location  Y/A Location  Z Location    Size    Reference
================================================================================
   1  Point           +026.56903    -082.60246  -000.19910            
   2  Point           +031.66173    -082.60211  -000.19910            
   3  Point           +025.07939    -082.31173  -000.19910            
   4  Point           +024.92021    -081.07050  -000.19910            
   5  Point           +014.90094    -000.77920  -000.05340            
   6  Point           +015.10906    -002.48979  -000.05340            
   7  Point           +015.43114    +000.21411  -000.05340            
   8  Point           +020.34695    +000.22271  -000.04270            
   9  Point           +113.65959    +000.55020  -000.00850            
  10  Point           +124.09622    +000.59316  -000.00850            
  11  Point           +129.40510    -001.41026  +000.15470            
  12  Point           +129.20137    -004.59647  +000.15500            
  13  Line            +029.11538    -082.60228  -000.19910  -179.99601 2 1      
  14  Line            +024.99980    -081.69112  -000.19910  -082.69180 4 3      
  15  Line            +015.00500    -001.63450  -000.05340  -083.06306 5 6      
  16  Line            +017.88905    +000.21841  -000.04805  +000.10028 7 8      
  17  Line            +118.87791    +000.57168  -000.00850  +000.23580 9 10     
  18  Line            +129.30324    -003.00336  +000.15485  -093.65860 11 12    
  19  Intersect       +025.11669    -082.60256  -000.19910  +097.30421 13 14    
  20  Intersect       +014.78022    +000.21297  -000.05411  +083.16335 15 16    
  21  Intersect       +129.53464    +000.61555  +000.07300  +093.89440 17 18    
  22  Line            +019.94846    -041.19480  -000.12660  +097.11448 19 20    
  23  Line            +072.15743    +000.41426  +000.00945  +000.20100 20 21    
  24  Datum Origin    +000.00000    +000.00000  +000.00000             20       
  25  Datum Axis      +000.00000                                       23       
  26  Circle          +018.37195    -055.47208  +000.44251  +000.08048
  27  Circle          +018.39224    -055.77984  +000.44251  +000.09007
  28  Circle          +018.53100    -055.61490  +000.44251  +000.07951
  29  Circle          +018.21926    -055.63863  +000.44251  +000.07567
  30  Line            +018.38210    -055.62596  +000.44251  -086.22768 26 27    
  31  Line            +018.37513    -055.62676  +000.44251  -175.64678 28 29    
  32  Intersect       +018.38212    -055.62623  +000.44251  +089.41910 30 31    
  33  Circle          +018.37166    -055.47325  +000.44251  +000.08044
  34  Circle          +018.39624    -055.77806  +000.44251  +000.08691
  35  Circle          +018.54475    -055.61558  +000.44251  +000.08315
  36  Circle          +018.22460    -055.64158  +000.44251  +000.07885
  37  Line            +018.38395    -055.62566  +000.44251  -085.38960 33 34    
  38  Line            +018.38467    -055.62858  +000.44251  -175.35660 35 36    
  39  Intersect       +018.38419    -055.62862  +000.44251  +089.96699 38 37    
  40  Circle          +016.81198    -058.11993  +000.44251  +000.08734
  41  Circle          +016.83897    -058.41230  +000.44251  +000.07807
  42  Circle          +016.66560    -058.28516  +000.44251  +000.08392
  43  Circle          +016.98338    -058.25583  +000.44251  +000.07378
  44  Line            +016.82449    -058.27049  +000.44251  +005.27405 42 43    
  45  Line            +016.82548    -058.26612  +000.44251  -084.72518 40 41    
  46  Intersect       +016.82587    -058.27036  +000.44251  +089.99923 44 45    
  47  Circle          +016.81170    -058.12015  +000.44251  +000.08805
  48  Circle          +016.83997    -058.41481  +000.44251  +000.08724
  49  Circle          +016.66614    -058.28200  +000.44251  +000.08814
  50  Circle          +016.98160    -058.25779  +000.44251  +000.07843
  51  Line            +016.82583    -058.26748  +000.44251  -084.52107 47 48    
  52  Line            +016.82387    -058.26990  +000.44251  -175.61085 50 49    
  53  Intersect       +016.82605    -058.26973  +000.44251  +091.08978 52 51    
  54  Circle          +018.37028    -055.47898  +000.44251  +000.08398
  55  Circle          +018.39332    -055.77510  +000.44251  +000.09185
  56  Circle          +018.21371    -055.63511  +000.44251  +000.08166
  57  Circle          +018.54651    -055.61515  +000.44251  +000.08102
  58  Line            +018.38180    -055.62704  +000.44251  -085.55145 54 55    
  59  Line            +018.38011    -055.62513  +000.44251  -176.56851 57 56    
  60  Intersect       +018.38164    -055.62504  +000.44251  +091.01706 59 58    
